Month,Site,CPU_Usage_ms,Cost,Primary_Bot_Type,Attack_Pattern,Mitigation_Strategy
August_2025,FlowGuideAI,Over_15000,140,Unknown_Scrapers,Sustained_high_request_volume,Rate_limiting_+_Bot_challenge
November_2025,FlowGuideAI,Over_15000,140,Unknown_Scrapers,Sustained_high_request_volume,Rate_limiting_+_Bot_challenge
December_2025,MyPasswordChecker,27327,140,Unknown_Scrapers,Sustained_high_request_volume,Tiered_bot_protection
January_2026,MyPasswordChecker,Projected_27000+,140,Unknown_Scrapers,Ongoing_attack,DEPLOY_BOT_PROTECTION_NOW
,,,,,Total_Cost_So_Far,$560
,,,,,Projected_Annual_Cost,$3360
,,,,,Cost_After_Bot_Protection,$0
,,,,,Annual_Savings,$3360+

Bot_Access_Tiers,Rate_Limit,Examples,Purpose,CPU_Impact
TIER_1_Search_Engines,Unlimited,Google_Bing_DuckDuckGo_Yahoo,Critical_for_SEO_indexing,Minimal_(legitimate_crawl_patterns)
TIER_2_AI_Chatbots,120_req/min,ChatGPT_Gemini_Claude_Perplexity_Grok,Allow_AI_recommendations_with_limits,Low_(monitored_and_limited)
TIER_3_Social_Media,60_req/min,Facebook_Twitter_LinkedIn_Pinterest,Social_sharing_link_previews,Very_Low
TIER_4_Blocked_Bots,0_(blocked),Scrapy_Python_SEMrush_AhrefsBot,Malicious_scrapers_aggressive_crawlers,Would_be_Very_High
TIER_5_Suspicious,Challenge,Headless_browsers_no_UA_generic_bots,Unknown_bots_need_verification,Varies
TIER_6_Normal_Users,60_req/min,Chrome_Safari_Firefox_Edge,Legitimate_human_visitors,Very_Low

Allowed_AI_Chatbots,User_Agent_Pattern,Monthly_Limit,Reasoning,Benefit_to_Site
OpenAI_ChatGPT,gptbot_chatgpt-user_openai,120_req/min,Most_popular_AI_chatbot,Recommendations_to_users
Google_Gemini,google-extended_gemini_bard,120_req/min,Google's_AI_second_most_popular,Search_integration_recommendations
Anthropic_Claude,claudebot_anthropic-ai,120_req/min,Third_major_AI_chatbot,User_recommendations
Perplexity,perplexitybot_perplexity,120_req/min,AI_search_engine,Direct_traffic_referrals
X/Grok,grok_x.ai,120_req/min,X/Twitter_AI_chatbot,Social_media_integration
Meta_AI,meta-externalagent_facebookbot,120_req/min,Facebook_Instagram_AI,Social_platform_integration

Protection_Layers,Purpose,CPU_Savings,Implementation_Priority
Layer_1_Whitelist_Search_Engines,Allow_Google_Bing_etc_unlimited,0%_impact,Critical
Layer_2_Allow_AI_Chatbots,ChatGPT_Gemini_etc_with_120_req/min,Controlled_not_blocked,High
Layer_3_Block_Malicious_Scrapers,Stop_Scrapy_Python_aggressive_bots,60-70%_reduction,Critical
Layer_4_Challenge_Suspicious,ML_detection_of_unknown_bots,20-25%_reduction,High
Layer_5_Rate_Limit_Normal,60_req/min_for_regular_users,10-15%_reduction,High
Layer_6_Bot_Score_Check,Cloudflare_ML_scoring,5-10%_reduction,Medium
,,,Total_Expected_Reduction,85-95%

Deployment_Checklist,Status,Time_Required,Dependency
Create_KV_namespaces,Pending,2_min,Wrangler_CLI
Update_wrangler_config,Pending,3_min,KV_namespace_IDs
Deploy_to_MyPasswordChecker,Pending,1_min,Config_ready
Deploy_to_FlowGuideAI,Pending,5_min,FlowGuideAI_project_access
Verify_deployment,Pending,2_min,Wrangler_tail
Monitor_24_hours,Pending,Passive,Deployed_worker
Check_CPU_reduction,Pending,5_min,24_hours_elapsed
Verify_$0_bill,Pending,Check_monthly,Next_billing_cycle
